location,type,completed
Den Area 1 Netdealer,HP,0
The Square Netdealer,HP,0
Den Area 3 Netdealer,HP,0
Gas Comp2 BMD,HP,0
Guardian Statue (Camp Road 2),HP,0
Bomb Comp2 BMD,HP,0
KotoSquare,HP,0
Mother Comp1 BMD,HP,0
Examine Airplane Business ,HP,0
Airplane Comp 2 BMD,HP,0
Airplane Comp 4 BMD,HP,0
NetSquare Netdealer,HP,0
Netopia 3 BMD,HP,0
Castle Comp1 BMD,HP,0
Undernet 1 Netdealer,HP,0
Undernet 2 BMD,HP,0
UnderSquare Netdealer,HP,0
UnderKoto Netdealer,HP,0
Apartment 2F (Cyberworld) BMD,HP,0
Yai's PC BMD,HP,0
Mayl's Piano BMD*,HP,0
Defeat Mr. Famous once,HP,0
Defeat Mr. Match once,HP,0
Solve request 'At the cafe',HP,0
Solve request 'Mission3',HP,0
Solve request 'Help reconcile us,HP,0
Trade with the boy who wants an Invis1 ,HP,0
Challenge the QuizMaster**,HP,0
Examine Netopia Hotel ,HP,0
Apartment 9F (real world) western ,HP,0
Examine Dr. Hikari's Lab Coat, POWERUP,0
Purchase from Den Area 3 Netdealer (10000Z), POWERUP,0
Open the PMD in Den Area 3, POWERUP,0
Bomb Comp4 BMD, POWERUP,0
KotoSquare Netdealer (10000Z), POWERUP,0
NetSquare Netdealer (10000Z), POWERUP,0
Castle Comp4 BMD, POWERUP,0
UnderSquare Netdealer (20000Z), POWERUP,0
UnderKoto Netdealer (20000Z), POWERUP,0
Apartment Comp3 BMD, POWERUP,0
Solve request 'Help research', POWERUP,0
Find the program concealed behind the first control panel that only the, POWERUP,0
Complete ZLicense Exam,REGUP,0
Gas Comp,REGUP,0
Yai's Phone,REGUP,0
Coffee Machine,REGUP,0
Bear,REGUP,0
Bomb Comp3,REGUP,0
Yumland 1,REGUP,0
Mother Comp2,REGUP,0
Mother Comp5,REGUP,0
Air Comp1,REGUP,0
Air Comp4,REGUP,0
Examine Underground Trash Cans,REGUP,0
Castle Comp3,REGUP,0
Duty-Free Shop (Netopia),REGUP,0
Undernet 1,REGUP,0
Undernet 6,REGUP,0
ACDC Park Broken Toy,REGUP,0
Vending Machine (Kotobuki),REGUP,0
Apartment Comp1,REGUP,0
Gospel Server1,REGUP,0
The old lady in Okuden concealed REGUP,0
trees in Camp Road 2, just befoREGUP,0
the campground entrance,REGUP,0
Complete request 'Need help',REGUP,0
Complete request 'Mission1',REGUP,0
Complete request 'For male pride,REGUP,0
Complete BLicense Exam,REGUP,0
Complete ALicense Exam,REGUP,0
Complete SLicense Exam,REGUP,0
Complete SSLicense Exam,REGUP,0
Complete SSSLicense Exam,REGUP,0
Challenge the QuizKing,REGUP,0